peak_1	h_1	k_1	l_1	peak_2	h_2	k_2	l_2	peak_3	h_3	k_3	l_3	peak_4	h_4	k_4	l_4	peak_5	h_5	k_5	l_5	peak_6	h_6	k_6	l_6	space_group	Space_code
2.735147	1.0	0.0	1.0	0.772431	4.0	0.0	1.0	2.8468	0.0	0.0	2.0	3.118558	1.0	0.0	0.0	0.787051	3.0	1.0	3.0	1.521694	1.0	1.0	2.0	P6_3mmc	0
2.615968	1.0	0.0	1.0	2.739	0.0	0.0	2.0	2.977395	1.0	0.0	0.0	0.785013	2.0	1.0	5.0	1.456004	1.0	1.0	2.0	1.556583	1.0	0.0	3.0	P6_3mmc	0
2.631652	1.0	0.0	1.0	2.7625	0.0	0.0	2.0	2.992984	1.0	0.0	0.0	1.464998	1.0	1.0	2.0	1.56851	1.0	0.0	3.0	1.728	1.0	1.0	0.0	P6_3mmc	0
2.744989	1.0	1.0	0.0	1.58482	2.0	1.0	1.0	0.79241	4.0	2.0	2.0	1.037508	3.0	2.0	1.0	1.941	2.0	0.0	0.0	1.227596	3.0	1.0	0.0	Im3m	8
2.637285	1.0	0.0	1.0	0.792274	2.0	1.0	5.0	2.7695	0.0	0.0	2.0	2.999046	1.0	0.0	0.0	1.468175	1.0	1.0	2.0	1.572266	1.0	0.0	3.0	P6_3mmc	0
2.499927	1.0	1.0	1.0	2.165	2.0	0.0	0.0	1.305544	3.0	1.0	1.0	1.530886	2.0	2.0	0.0	0.833309	5.0	1.0	1.0	0.883858	4.0	2.0	2.0	Fm3m	4
2.935422	1.0	1.0	1.0	0.775348	5.0	3.0	3.0	2.54215	2.0	0.0	0.0	1.532974	3.0	1.0	1.0	1.797572	2.0	2.0	0.0	0.859404	5.0	3.0	1.0	Fm3m	4
2.906209	1.0	1.0	0.0	1.677901	2.0	1.0	1.0	0.806037	4.0	3.0	1.0	1.098444	3.0	2.0	1.0	2.055	2.0	0.0	0.0	0.806037	5.0	1.0	0.0	Im3m	8
2.682602	1.0	0.0	1.0	0.772247	3.0	1.0	3.0	2.7773	0.0	0.0	2.0	3.063565	1.0	0.0	0.0	1.491891	1.0	1.0	2.0	1.584612	1.0	0.0	3.0	P6_3mmc	0
2.682602	1.0	0.0	1.0	0.772247	1.0	3.0	3.0	2.7773	0.0	0.0	2.0	3.063565	1.0	0.0	0.0	1.491891	1.0	1.0	2.0	1.584612	1.0	0.0	3.0	P6_3mmc	0
3.747696	1.0	1.0	1.0	2.294986	2.0	2.0	0.0	1.95717	3.0	1.0	1.0	0.867423	6.0	4.0	2.0	1.325011	4.0	2.0	2.0	1.489183	3.0	3.0	1.0	Fd3m	3
2.338049	1.0	1.0	0.0	0.77935	4.0	1.0	1.0	1.349873	2.0	1.0	1.0	0.883699	3.0	2.0	1.0	0.77935	3.0	3.0	0.0	1.65325	2.0	0.0	0.0	Im3m	8
